"Name","N_sensors","T","steps","Statistics/accepted","E/Emin","Statistics/rejected","Statistics/occupied","Statistics/no_neighbors"
"rich-sweep-60","200","0.1","10000","3223","0.0078563978895545","1","6591","185"
"ethereal-sweep-59","200","0.09","10000","3223","0.0078563978895545","1","6591","185"
"major-sweep-58","200","0.08","10000","3223","0.0078563978895545","1","6591","185"
"different-sweep-57","100","0.05","10000","6454","0.008031528443098068","9","3443","94"
"smooth-sweep-56","10","0.05","10000","9499","0.02878520265221596","223","278","0"
"distinctive-sweep-55","10","0.04","10000","9440","0.029698310419917107","275","285","0"
"clean-sweep-54","10","0.03","10000","9334","0.028982039541006088","325","341","0"
"lunar-sweep-53","5","0.07","10000","9512","0.03948168829083443","392","96","0"
"wild-sweep-52","5","0.06","10000","9420","0.041576091200113297","514","66","0"
"logical-sweep-51","5","0.05","10000","9331","0.04822944104671478","603","66","0"
"fluent-sweep-50","5","0.04","10000","9285","0.05128367990255356","619","96","0"
"floral-sweep-49","5","0.03","10000","8889","0.0353114940226078","1029","82","0"
"crimson-sweep-48","5","0.02","10000","8469","0.04294918477535248","1484","47","0"
"fiery-sweep-47","5","0.01","10000","7851","0.04053685814142227","2096","53","0"
"expert-sweep-46","100","0.1","10000","6229","0.014254669658839704","5","3675","91"
"astral-sweep-52","200","0.07","10000","3168","0.0065255663357675076","2","6605","225"
"stellar-sweep-51","200","0.06","10000","3095","0.0065255663357675076","3","6686","216"
"resilient-sweep-50","200","0.05","10000","3094","0.0065255663357675076","3","6687","216"
"toasty-sweep-49","200","0.04","10000","3094","0.0065255663357675076","3","6687","216"
"true-sweep-48","200","0.03","10000","3012","0.006667653098702431","3","6768","217"
"charmed-sweep-47","200","0.02","10000","3131","0.0067803505808115005","7","6649","213"
"hearty-sweep-46","200","0.01","10000","3288","0.0067803505808115005","23","6478","211"
"ethereal-sweep-44","100","0.09","10000","6271","0.011793130077421663","2","3630","97"
"flowing-sweep-43","100","0.08","10000","6332","0.011793130077421663","3","3568","97"
"royal-sweep-42","100","0.07","10000","6332","0.011793130077421663","3","3568","97"
"ethereal-sweep-41","100","0.06","10000","6332","0.011793130077421663","3","3568","97"
"dashing-sweep-39","100","0.04","10000","6174","0.011793130077421663","10","3713","103"
"ancient-sweep-38","100","0.03","10000","6274","0.011793130077421663","7","3616","103"
"zesty-sweep-37","100","0.02","10000","6349","0.011626061052083967","20","3533","98"
"different-sweep-36","100","0.01","10000","6378","0.008662892505526543","27","3500","95"
"vital-sweep-35","50","0.1","10000","8032","0.021317893639206886","12","1764","192"
"eager-sweep-34","50","0.09","10000","8098","0.01969638839364052","15","1698","189"
"earnest-sweep-33","50","0.08","10000","8146","0.021317893639206886","18","1649","187"
"drawn-sweep-32","50","0.07","10000","8133","0.017560889944434166","10","1658","199"
"electric-sweep-31","50","0.06","10000","8072","0.021317893639206886","17","1710","201"
"misunderstood-sweep-30","50","0.05","10000","7918","0.016884710639715195","18","1850","214"
"glad-sweep-29","50","0.04","10000","7883","0.023166831582784653","31","1882","204"
"dutiful-sweep-28","50","0.03","10000","8167","0.014616711996495724","30","1622","181"
"trim-sweep-27","50","0.02","10000","8063","0.014616711996495724","56","1702","179"
"peach-sweep-26","50","0.01","10000","8193","0.01914251409471035","89","1534","184"
"sage-sweep-25","25","0.1","10000","9238","0.024769991636276245","20","742","0"
"fluent-sweep-24","25","0.09","10000","9113","0.02440466172993183","27","860","0"
"giddy-sweep-23","25","0.08","10000","9142","0.023932427167892456","38","820","0"
"worldly-sweep-22","25","0.07","10000","9126","0.025554493069648743","52","822","0"
"different-sweep-21","25","0.06","10000","9243","0.02484213188290596","47","710","0"
"tough-sweep-20","25","0.05","10000","9171","0.027174144983291623","78","751","0"
"vibrant-sweep-19","25","0.04","10000","9162","0.0225612111389637","70","768","0"
"easy-sweep-18","25","0.03","10000","9219","0.022662991657853127","90","691","0"
"unique-sweep-17","25","0.02","10000","9060","0.026113850995898247","153","787","0"
"dainty-sweep-16","25","0.01","10000","9026","0.024782557040452957","226","748","0"
"warm-sweep-15","10","0.1","10000","9623","0.0390496626496315","130","247","0"
"denim-sweep-14","10","0.09","10000","9572","0.04287859424948692","127","301","0"
"chocolate-sweep-13","10","0.08","10000","9601","0.03196076303720474","133","266","0"
"warm-sweep-12","10","0.07","10000","9557","0.03435593843460083","196","247","0"
"hardy-sweep-11","10","0.06","10000","9522","0.03618998825550079","156","322","0"
"fancy-sweep-9","10","0.02","10000","9265","0.03793663531541824","481","254","0"
"sleek-sweep-8","10","0.01","10000","8672","0.027452712878584865","1041","287","0"
"smooth-sweep-7","5","0.1","10000","9526","0.11146410554647446","257","217","0"
"celestial-sweep-6","5","0.09","10000","9621","0.04225356504321098","306","73","0"
"clean-sweep-5","5","0.08","10000","9525","0.03943059965968132","355","120","0"
