"Name","ID","State","Runtime","N_sensors","T","steps","Best sensor location","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"eager-morning-114","3n9w4env","finished","108098","5","0.0005","10000","[28,126,123,179,111]","0.04453131556510925","0.9923921823501588","3801","0","4","6195"
"soft-sun-113","30fz5q25","finished","105978","10","0.0005","10000","[0,128,93,178,116,108,136,69,112,219]","0.01886928640305996","0.00006125955405877903","5249","0","372","4379"
"swift-paper-112","o35pu4z8","finished","97959","50","0.00005","10000","{""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309],""values"":[2,3,2,0,3,2,1,2,0,0,2,1,1,3,1,2,1,2,2,3,2,3,2,1,0,0,1,1,3,1,0,3],""_type"":""histogram""}","0.013911000452935696","2.8985549511358923e-16","4729","205","1163","3903"
"polished-wave-111","2rg4y61w","finished","101452","25","0.00005","10000","[0,72,22,67,239,249,119,108,20,152,121,137,128,199,174,268,238,164,168,201,93,169,279,301,289]","0.008183477446436882","0.9835041761398317","4918","412","569","4101"
"solar-sun-110","1ng9ievf","finished","94029","50","0.0001","10000","{""bins"":[0,9.40625,18.8125,28.21875,37.625,47.03125,56.4375,65.84375,75.25,84.65625,94.0625,103.46875,112.875,122.28125,131.6875,141.09375,150.5,159.90625,169.3125,178.71875,188.125,197.53125,206.9375,216.34375,225.75,235.15625,244.5625,253.96875,263.375,272.78125,282.1875,291.59375,301],""values"":[1,1,3,1,1,2,0,1,1,1,1,1,1,5,3,2,1,2,1,3,0,3,2,0,1,3,2,1,0,2,2,2],""_type"":""histogram""}","0.007682106457650661","0.0002350953727727756","5819","202","1582","2397"
"classic-plasma-109","230u70ex","finished","98760","25","0.0001","10000","[0,9,1,169,173,16,72,189,297,108,121,152,259,114,174,122,137,199,164,129,227,238,280,304,205]","0.0070540690794587135","0.0000933227493078448","4914","417","863","3806"
"balmy-brook-108","3nvzgh6n","finished","105513","10","0.001","10000","[69,136,22,294,124,128,55,93,199,238]","0.024028433486819267","0.6092463731765747","6538","0","206","3256"
"curious-butterfly-107","3da26wkq","finished","107367","5","0.001","10000","[76,220,121,111,168]","0.038792360574007034","0.000030076769689912908","4985","0","14","5001"
"easy-fire-106","3lf3tif9","finished","27500","200","0.00006","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[7,6,9,3,5,8,7,5,4,7,6,7,8,7,6,6,8,6,6,5,7,6,7,5,9,7,7,4,6,4,6,6]}","0.006781713105738163","0.7768464088439941","2810","169","6652","369"
"misunderstood-sound-105","3jqyv5pq","finished","45713","100","0.000069","10000","{""_type"":""histogram"",""bins"":[0,9.53125,19.0625,28.59375,38.125,47.65625,57.1875,66.71875,76.25,85.78125,95.3125,104.84375,114.375,123.90625,133.4375,142.96875,152.5,162.03125,171.5625,181.09375,190.625,200.15625,209.6875,219.21875,228.75,238.28125,247.8125,257.34375,266.875,276.40625,285.9375,295.46875,305],""values"":[6,4,5,2,3,1,2,3,3,2,1,2,4,6,2,6,1,2,4,3,3,3,4,2,4,5,3,3,1,4,3,3]}","0.006713266484439373","0.9851428270339966","5219","113","3490","1178"
"golden-monkey-104","225aypv6","finished","139365","50","0.0002","10000","{""_type"":""histogram"",""bins"":[0,9.5625,19.125,28.6875,38.25,47.8125,57.375,66.9375,76.5,86.0625,95.625,105.1875,114.75,124.3125,133.875,143.4375,153,162.5625,172.125,181.6875,191.25,200.8125,210.375,219.9375,229.5,239.0625,248.625,258.1875,267.75,277.3125,286.875,296.4375,306],""values"":[2,1,2,0,3,2,1,1,2,1,2,3,2,2,2,1,1,5,1,0,3,1,1,1,2,0,1,0,2,2,1,2]}","0.0068358248099684715","1.002148985862732","6377","228","1800","1595"
"dutiful-snow-103","2xqqn49u","finished","148574","25","0.00045","10000","[0,76,164,122,195,289,72,136,175,199,121,108,88,238,174,224,169,155,184,233,138,143,279,296,291]","0.00797517504543066","2.2748000621795654","6256","432","696","2616"
"golden-planet-102","18c0wu74","finished","155254","10","0.0017","10000","[129,69,135,178,116,108,0,295,139,220]","0.02484305389225483","0.467145711183548","6882","0","223","2895"
"dauntless-silence-101","102abbbe","finished","156009","5","0.004","10000","[66,189,116,111,220]","0.0410507395863533","0.968734622001648","5811","0","33","4156"
"rich-sweep-60","htdgkclr","failed","34862","200","0.1","10000","{""values"":[8,7,7,3,10,7,3,6,6,4,6,8,6,6,5,7,7,6,8,5,8,7,6,6,9,5,4,6,7,5,7,5],""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310]}","0.0078563978895545","0.9999986886978148","3223","185","6591","1"
"ethereal-sweep-59","n6pz072p","failed","39097","200","0.09","10000","{""values"":[8,7,7,3,10,7,3,6,6,4,6,8,6,6,5,7,7,6,8,5,8,7,6,6,9,5,4,6,7,5,7,5],""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""_type"":""histogram""}","0.0078563978895545","0.9999985694885254","3223","185","6591","1"
"major-sweep-58","r4g56vgw","failed","39064","200","0.08","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[8,7,7,3,10,7,3,6,6,4,6,8,6,6,5,7,7,6,8,5,8,7,6,6,9,5,4,6,7,5,7,5]}","0.0078563978895545","0.9999983310699464","3223","185","6591","1"
